dataset,delta_s,coverage_star,coverage_pi,coverage_pi_tuned,coverage_pi_sd,coverage_star_ci_low,coverage_star_ci_high,coverage_pi_ci_low,coverage_pi_ci_high,coverage_pi_tuned_ci_low,coverage_pi_tuned_ci_high,coverage_pi_sd_ci_low,coverage_pi_sd_ci_high,coverage_gap_pi,coverage_gap_pi_tuned,coverage_gap_pi_sd,coverage_gap,coverage_gap_tuned,coverage_gain_pi_tuned_vs_base,coverage_gain_pi_sd_vs_base,coverage_gain_tuned_vs_base
us101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us101,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us101,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us101,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us101,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us101,0.25,7.102020524839316e-05,1.1836700874732191e-05,3.551010262419658e-05,3.551010262419658e-05,2.3377484227596097e-05,0.0001423363280186,0.0,4.734680349892877e-05,0.0,8.285690612312535e-05,0.0,8.285690612312535e-05,5.9183504373660966e-05,3.551010262419658e-05,3.551010262419658e-05,5.9183504373660966e-05,3.551010262419658e-05,2.3673401749464383e-05,2.3673401749464383e-05,2.3673401749464383e-05
us101,0.3,0.0003195909236177,3.551010262419658e-05,0.000130203709622,0.0002248973166199,0.0002012239148704,0.0004734680349892,0.0,9.469360699785756e-05,5.9183504373660966e-05,0.0002248973166199,0.000130203709622,0.0003432643253672,0.0002840808209935,0.0001893872139957,9.469360699785756e-05,0.0002840808209935,0.0001893872139957,9.469360699785752e-05,0.0001893872139957,9.469360699785752e-05
us101,0.35,0.0029355018169335,9.469360699785756e-05,0.0015861179172141,0.002781624705562,0.0024854112661718,0.0033379496466744,1.1836700874732191e-05,0.0002012239148704,0.0013020370962205,0.0018823313566042,0.0023670442574245,0.0031606950510753,0.0028408082099357,0.0013493838997194,0.0001538771113715,0.0028408082099357,0.0013493838997194,0.0014914243102162,0.0026869310985642,0.0014914243102162
us101,0.4,0.0089130357586733,0.0005089781376134,0.0060485541469881,0.0087236485446776,0.0081315175834191,0.0095415645751216,0.0003195909236177,0.0006865286507344,0.0054919332883538,0.0066403891907247,0.00795426298782,0.0093746670927878,0.0084040576210598,0.0028644816116851,0.0001893872139957,0.0084040576210598,0.0028644816116851,0.0055395760093746,0.0082146704070641,0.0055395760093746
us101,0.45,0.0242415633914515,0.0022489731661991,0.0193766793319366,0.0239693192713326,0.0229984138820827,0.025604263579655,0.0018699028206858,0.0026043701099629,0.0182986517997703,0.0204777884308085,0.0227856491838594,0.0252382136051039,0.0219925902252524,0.0048648840595149,0.0002722441201188,0.0219925902252524,0.0048648840595149,0.0171277061657374,0.0217203461051335,0.0171277061657374
