dataset,delta_s,coverage_star,coverage_pi,coverage_pi_tuned,coverage_pi_sd,coverage_star_ci_low,coverage_star_ci_high,coverage_pi_ci_low,coverage_pi_ci_high,coverage_pi_tuned_ci_low,coverage_pi_tuned_ci_high,coverage_pi_sd_ci_low,coverage_pi_sd_ci_high,coverage_gap_pi,coverage_gap_pi_tuned,coverage_gap_pi_sd,coverage_gap,coverage_gap_tuned,coverage_gain_pi_tuned_vs_base,coverage_gain_pi_sd_vs_base,coverage_gain_tuned_vs_base
us101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us101,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us101,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us101,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us101,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us101,0.25,3.128273912990685e-05,5.213789854984476e-06,1.5641369564953426e-05,1.5641369564953426e-05,1.017902537655168e-05,6.30364419993213e-05,0.0,2.0778462600165832e-05,0.0,3.655268658297588e-05,0.0,3.655268658297588e-05,2.6068949274922376e-05,1.5641369564953426e-05,1.5641369564953426e-05,2.6068949274922376e-05,1.5641369564953426e-05,1.042757970996895e-05,1.042757970996895e-05,1.042757970996895e-05
us101,0.3,0.0001467621757352,1.5641369564953426e-05,6.268285716664689e-05,0.0001050518568954,9.32815819800015e-05,0.0002156266423722,0.0,4.200136782434282e-05,2.619280856856262e-05,0.0001092982866585,5.777750491791018e-05,0.0001558445026737,0.0001311208061703,8.407931856863338e-05,4.171031883987581e-05,0.0001311208061703,8.407931856863338e-05,4.704148760169346e-05,8.941048733045103e-05,4.704148760169346e-05
us101,0.35,0.0012990097336868,4.1710318839875805e-05,0.0007039790093297,0.001231230465572,0.0010963121575354,0.0014736092504568,5.236147862095591e-06,8.869235407370475e-05,0.0005800828091451,0.000833393965961,0.0010491483091581,0.0013948853520251,0.0012572994148469,0.0005950307243571,6.777926811479817e-05,0.0012572994148469,0.0005950307243571,0.0006622686904898,0.0011895201467321,0.0006622686904898
us101,0.4,0.0039626251469013,0.0002383628498128,0.0026960922761623,0.0038792045092215,0.0036041107172683,0.0042632364735757,0.0001500982210049,0.0003245071919402,0.0024380759538003,0.0029580187264379,0.0035266779422535,0.0041907896216854,0.0037242622970884,0.0012665328707389,8.342063767975173e-05,0.0037242622970884,0.0012665328707389,0.0024577294263495,0.0036408416594087,0.0024577294263495
us101,0.45,0.0108157360525916,0.0010480104571349,0.0086500702658729,0.0106951383199093,0.0102486026663526,0.0114258198618084,0.0008623195997749,0.0012303937498968,0.0081587504782166,0.0091648084763072,0.010141380148901,0.0113023961446068,0.0097677255954566,0.0021656657867186,0.0001205977326822,0.0097677255954566,0.0021656657867186,0.0076020598087379,0.0096471278627743,0.0076020598087379
