controller,saturation,delta_abs_q50_s,delta_abs_q90_s,delta_abs_q95_s,delta_rel_q90_s,dataset,weight_mode,controller_label,n_instances,sat_gap_vs_star,delta90_penalty_vs_star_s,delta_rel90_penalty_vs_star_s
star,0.9743957908727015,1.25,1.9,2.2,1.8,us101,severity,Upper bound,84483,0.0,0.0,0.0
pi,0.46061303449185825,,,,1.65,us101,severity,Weak TTC,84483,0.5137827563808433,,-0.15000000000000013
pi_tuned,0.9121484989393719,1.25,2.25,,1.75,us101,severity,Strong TTC,84483,0.06224729193332956,0.3500000000000001,-0.050000000000000044
pi_sd,0.9241971267368684,1.25,2.05,,1.75,us101,severity,Stopping-distance,84483,0.05019866413583307,0.1499999999999999,-0.050000000000000044
rss_longitudinal,0.9261789857395818,1.25,2.15,,1.8,us101,severity,RSS longitudinal,84483,0.048216805133119656,0.25,0.0
star,0.9709964365122987,1.15,1.85,2.25,1.75,i80,severity,Upper bound,134718,0.0,0.0,0.0
pi,0.47062776609967344,,,,1.65,i80,severity,Weak TTC,134718,0.5003686704126253,,-0.10000000000000009
pi_tuned,0.910867423562483,1.15,2.3,,1.7,i80,severity,Strong TTC,134718,0.06012901294981576,0.44999999999999973,-0.050000000000000044
pi_sd,0.9112890236756299,1.15,2.25,,1.65,i80,severity,Stopping-distance,134718,0.059707412836668805,0.3999999999999999,-0.10000000000000009
rss_longitudinal,0.9172314008686336,1.15,2.2,,1.7,i80,severity,RSS longitudinal,134718,0.05376503564366508,0.3500000000000001,-0.050000000000000044
star,0.9724220103313826,1.2,1.85,2.25,1.8,ngsim_pooled,severity,Upper bound,219201,0.0,0.0,0.0
pi,0.46642792763871316,,,,1.65,ngsim_pooled,severity,Weak TTC,219201,0.5059940826926694,,-0.15000000000000013
pi_tuned,0.9114046630862112,1.2,2.25,,1.75,ngsim_pooled,severity,Strong TTC,219201,0.061017347245171494,0.3999999999999999,-0.050000000000000044
pi_sd,0.9167022439013549,1.2,2.15,,1.7,ngsim_pooled,severity,Stopping-distance,219201,0.05571976643002774,0.2999999999999998,-0.10000000000000009
rss_longitudinal,0.9209837142151432,1.2,2.15,,1.75,ngsim_pooled,severity,RSS longitudinal,219201,0.0514382961162394,0.2999999999999998,-0.050000000000000044
star,0.9922299139425435,1.4,2.2,2.55,2.15,highd_external,severity,Upper bound,24009,0.0,0.0,0.0
pi,0.5942878226772863,1.75,,,1.9,highd_external,severity,Weak TTC,24009,0.39794209126525715,,-0.25
pi_tuned,0.9461404997177281,1.4,2.45,,2.1,highd_external,severity,Strong TTC,24009,0.046089414224815384,0.25,-0.04999999999999982
pi_sd,0.9874663230350194,1.4,2.2,2.55,2.15,highd_external,severity,Stopping-distance,24009,0.004763590907524096,0.0,0.0
rss_longitudinal,0.986337980228622,1.4,2.2,2.6,2.15,highd_external,severity,RSS longitudinal,24009,0.005891933713921493,0.0,0.0
