dataset,weight_mode,controller,controller_label,metric,value,ci_low,ci_high,n_boot
us101,frequency,star,Upper bound,saturation,0.9941881798705066,0.993418794313649,0.9947681782133684,400
us101,frequency,star,Upper bound,delta_abs_q50_s,1.0,1.0,1.0,400
us101,frequency,star,Upper bound,delta_abs_q90_s,1.6,1.6,1.6,400
us101,frequency,star,Upper bound,delta_abs_q95_s,1.8,1.8,1.8,400
us101,frequency,star,Upper bound,delta_rel_q90_s,1.55,1.55,1.6,400
us101,frequency,star,Upper bound,sat_gap_vs_star,0.0,0.0,0.0,400
us101,frequency,star,Upper bound,delta90_penalty_vs_star_s,0.0,0.0,0.0,400
us101,frequency,star,Upper bound,delta_rel90_penalty_vs_star_s,0.0,0.0,0.0,400
us101,frequency,pi,Weak TTC,saturation,0.5097593598712169,0.5062554004947744,0.5137604606843982,400
us101,frequency,pi,Weak TTC,delta_abs_q50_s,2.3,2.15,2.4,400
us101,frequency,pi,Weak TTC,delta_abs_q90_s,,,,400
us101,frequency,pi,Weak TTC,delta_abs_q95_s,,,,400
us101,frequency,pi,Weak TTC,delta_rel_q90_s,1.55,1.55,1.6,400
us101,frequency,pi,Weak TTC,sat_gap_vs_star,0.4844288199992896,0.480556739225643,0.4878147082845069,400
us101,frequency,pi,Weak TTC,delta90_penalty_vs_star_s,,,,400
us101,frequency,pi,Weak TTC,delta_rel90_penalty_vs_star_s,0.0,-0.05,0.05,400
us101,frequency,pi_tuned,Strong TTC,saturation,0.954570742042778,0.9529606548062926,0.9563350023081568,400
us101,frequency,pi_tuned,Strong TTC,delta_abs_q50_s,1.05,1.05,1.05,400
us101,frequency,pi_tuned,Strong TTC,delta_abs_q90_s,1.7,1.7,1.75,400
us101,frequency,pi_tuned,Strong TTC,delta_abs_q95_s,2.3,2.25,2.45,400
us101,frequency,pi_tuned,Strong TTC,delta_rel_q90_s,1.55,1.55,1.55,400
us101,frequency,pi_tuned,Strong TTC,sat_gap_vs_star,0.0396174378277286,0.0381606358675709,0.0412035557449427,400
us101,frequency,pi_tuned,Strong TTC,delta90_penalty_vs_star_s,0.0999999999999998,0.0999999999999998,0.1499999999999999,400
us101,frequency,pi_tuned,Strong TTC,delta_rel90_penalty_vs_star_s,0.0,-0.05,0.0,400
us101,frequency,pi_sd,Stopping-distance,saturation,0.9620752103973582,0.960536439283643,0.9636379508303446,400
us101,frequency,pi_sd,Stopping-distance,delta_abs_q50_s,1.0,1.0,1.05,400
us101,frequency,pi_sd,Stopping-distance,delta_abs_q90_s,1.65,1.65,1.65,400
us101,frequency,pi_sd,Stopping-distance,delta_abs_q95_s,2.0,1.95,2.05,400
us101,frequency,pi_sd,Stopping-distance,delta_rel_q90_s,1.55,1.55,1.55,400
us101,frequency,pi_sd,Stopping-distance,sat_gap_vs_star,0.0321129694731483,0.0307987997585312,0.0334866186096611,400
us101,frequency,pi_sd,Stopping-distance,delta90_penalty_vs_star_s,0.0499999999999998,0.0499999999999998,0.0499999999999998,400
us101,frequency,pi_sd,Stopping-distance,delta_rel90_penalty_vs_star_s,0.0,-0.05,0.0,400
us101,severity,star,Upper bound,saturation,0.9743957908727016,0.9702594507166178,0.9777112128403844,400
us101,severity,star,Upper bound,delta_abs_q50_s,1.25,1.25,1.25,400
us101,severity,star,Upper bound,delta_abs_q90_s,1.9,1.85,1.9,400
us101,severity,star,Upper bound,delta_abs_q95_s,2.2,2.15,2.25,400
us101,severity,star,Upper bound,delta_rel_q90_s,1.8,1.8,1.8,400
us101,severity,star,Upper bound,sat_gap_vs_star,0.0,0.0,0.0,400
us101,severity,star,Upper bound,delta90_penalty_vs_star_s,0.0,0.0,0.0,400
us101,severity,star,Upper bound,delta_rel90_penalty_vs_star_s,0.0,0.0,0.0,400
us101,severity,pi,Weak TTC,saturation,0.4606130344918582,0.4559641772075067,0.4655720712953136,400
us101,severity,pi,Weak TTC,delta_abs_q50_s,,,,400
us101,severity,pi,Weak TTC,delta_abs_q90_s,,,,400
us101,severity,pi,Weak TTC,delta_abs_q95_s,,,,400
us101,severity,pi,Weak TTC,delta_rel_q90_s,1.65,1.6,1.65,400
us101,severity,pi,Weak TTC,sat_gap_vs_star,0.5137827563808433,0.5089431793434157,0.5180625399124215,400
us101,severity,pi,Weak TTC,delta90_penalty_vs_star_s,,,,400
us101,severity,pi,Weak TTC,delta_rel90_penalty_vs_star_s,-0.1500000000000001,-0.1999999999999999,-0.1500000000000001,400
us101,severity,pi_tuned,Strong TTC,saturation,0.912148498939372,0.907240790247498,0.916831344812884,400
us101,severity,pi_tuned,Strong TTC,delta_abs_q50_s,1.25,1.25,1.25,400
us101,severity,pi_tuned,Strong TTC,delta_abs_q90_s,2.25,2.2,2.35,400
us101,severity,pi_tuned,Strong TTC,delta_abs_q95_s,,,,400
us101,severity,pi_tuned,Strong TTC,delta_rel_q90_s,1.75,1.75,1.75,400
us101,severity,pi_tuned,Strong TTC,sat_gap_vs_star,0.0622472919333295,0.0591846999438252,0.0648553379192851,400
