controller,saturation,delta_abs_q50_s,delta_abs_q90_s,delta_abs_q95_s,delta_rel_q90_s,dataset,weight_mode,controller_label,n_instances,sat_gap_vs_star,delta90_penalty_vs_star_s,delta_rel90_penalty_vs_star_s,family
star,0.9941523714354448,1.2,1.7,1.9,1.7,us101,frequency,Upper bound,54039,0.0,0.0,0.0,braking_lead
pi,0.4937175003238403,,,,1.6,us101,frequency,Weak TTC,54039,0.5004348711116046,,-0.0999999999999998,braking_lead
pi_tuned,0.9446510853272636,1.2,1.85,,1.7,us101,frequency,Strong TTC,54039,0.0495012861081811,0.1500000000000001,0.0,braking_lead
pi_sd,0.9441884564851312,1.2,1.8,,1.65,us101,frequency,Stopping-distance,54039,0.0499639149503137,0.1,-0.05,braking_lead
star,0.9844717676641136,1.35,1.95,2.2,1.9,us101,severity,Upper bound,54039,0.0,0.0,0.0,braking_lead
pi,0.4407666950554865,,,,1.65,us101,severity,Weak TTC,54039,0.543705072608627,,-0.25,braking_lead
pi_tuned,0.9090993037986788,1.35,2.35,,1.85,us101,severity,Strong TTC,54039,0.0753724638654347,0.4000000000000001,-0.0499999999999998,braking_lead
pi_sd,0.9197330916334516,1.35,2.15,,1.8,us101,severity,Stopping-distance,54039,0.0647386760306619,0.1999999999999999,-0.0999999999999998,braking_lead
star,0.9955989496652988,0.7,1.0,1.1,1.0,us101,frequency,Upper bound,27039,0.0,0.0,0.0,slower_lead
pi,0.5652945745034952,1.2,,,1.3,us101,frequency,Weak TTC,27039,0.4303043751618035,,0.3,slower_lead
pi_tuned,0.9845778320204156,0.7,1.0,1.15,1.0,us101,frequency,Strong TTC,27039,0.0110211176448832,0.0,0.0,slower_lead
pi_sd,0.9952291135027188,0.7,1.0,1.1,1.0,us101,frequency,Stopping-distance,27039,0.00036983616258,0.0,0.0,slower_lead
star,0.9539173639621984,0.8,1.25,1.65,1.15,us101,severity,Upper bound,27039,0.0,0.0,0.0,slower_lead
