delta_s,coverage_star,coverage_pi,coverage_pi_tuned,coverage_pi_sd,coverage_star_ci_low,coverage_star_ci_high,coverage_pi_ci_low,coverage_pi_ci_high,coverage_pi_tuned_ci_low,coverage_pi_tuned_ci_high,coverage_pi_sd_ci_low,coverage_pi_sd_ci_high,coverage_gap_pi,coverage_gap_pi_tuned,coverage_gap_pi_sd,coverage_gap,coverage_gap_tuned,coverage_gain_pi_tuned_vs_base,coverage_gain_pi_sd_vs_base,coverage_gain_tuned_vs_base
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,7.4229130479965505e-06,0.0,0.0,0.0,0.0,2.226873914398965e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.4229130479965505e-06,7.4229130479965505e-06,7.4229130479965505e-06,7.4229130479965505e-06,7.4229130479965505e-06,0.0,0.0,0.0
0.25,0.00015588117400792753,0.0,7.4229130479965505e-06,7.4229130479965505e-06,8.907495657595862e-05,0.00023753321753588962,0.0,0.0,0.0,2.2454311970189396e-05,0.0,2.2454311970189396e-05,0.00015588117400792753,0.00014845826095993099,0.00014845826095993099,0.00015588117400792753,0.00014845826095993099,7.4229130479965505e-06,7.4229130479965505e-06,7.4229130479965505e-06
0.3,0.0009798245223355446,0.0,0.00020784156534390337,0.0006309476090797069,0.0008014890363574278,0.0011653973485354586,0.0,0.0,0.0001336124348639379,0.000296916521919862,0.0005047580872637654,0.0007645600439436449,0.0009798245223355446,0.0007719829569916413,0.00034887691325583773,0.0009798245223355446,0.0007719829569916413,0.00020784156534390337,0.0006309476090797069,0.00020784156534390337
0.35,0.007675292091628434,8.907495657595862e-05,0.0031918526106385174,0.007111150699980697,0.007132677147819887,0.008209927403910383,3.711456523998275e-05,0.00014845826095993099,0.0028576359506524724,0.0035333066108463587,0.006606207039890732,0.007608485874196465,0.007586217135052475,0.004483439480989917,0.0005641413916477375,0.007586217135052475,0.004483439480989917,0.0031027776540625586,0.007022075743404738,0.0031027776540625586
0.4,0.020309090099318562,0.0007719829569916414,0.011765317181074533,0.019544530055374917,0.01945526952597276,0.021200581956382948,0.0006086788699357172,0.0009427099570955622,0.011178721477456608,0.012382161255363048,0.018742298727712697,0.020369030122181133,0.01953710714232692,0.00854377291824403,0.0007645600439436448,0.01953710714232692,0.00854377291824403,0.010993334224082892,0.018772547098383274,0.010993334224082892
0.45,0.04762541011594587,0.0036669190457102965,0.03332887958550451,0.046638162680562326,0.04614082750634656,0.04905060942116121,0.003332702385724252,0.003993898365474543,0.03231175492510278,0.03450318442969756,0.04524952122210838,0.04801177274009409,0.04395849107023558,0.01429653053044136,0.0009872474353835453,0.04395849107023558,0.01429653053044136,0.029661960539794214,0.04297124363485203,0.029661960539794214
