delta_s,coverage_star,coverage_pi,coverage_pi_tuned,coverage_pi_sd,coverage_star_ci_low,coverage_star_ci_high,coverage_pi_ci_low,coverage_pi_ci_high,coverage_pi_tuned_ci_low,coverage_pi_tuned_ci_high,coverage_pi_sd_ci_low,coverage_pi_sd_ci_high,coverage_gap_pi,coverage_gap_pi_tuned,coverage_gap_pi_sd,coverage_gap,coverage_gap_tuned,coverage_gain_pi_tuned_vs_base,coverage_gain_pi_sd_vs_base,coverage_gain_tuned_vs_base
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,3.765688312290328e-06,0.0,0.0,0.0,0.0,1.1337966067364482e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.765688312290328e-06,3.765688312290328e-06,3.765688312290328e-06,3.765688312290328e-06,3.765688312290328e-06,0.0,0.0,0.0
0.25,7.90794545580969e-05,0.0,3.765688312290328e-06,3.765688312290328e-06,4.502302058507795e-05,0.00011972841927885181,0.0,0.0,0.0,1.1509783501467882e-05,0.0,1.1509783501467882e-05,7.90794545580969e-05,7.531376624580657e-05,7.531376624580657e-05,7.90794545580969e-05,7.531376624580657e-05,3.765688312290328e-06,3.765688312290328e-06,3.765688312290328e-06
0.3,0.0004971877068773661,0.0,0.0001054392727441292,0.00032020035619972063,0.0004026826719334414,0.0005914076798572807,0.0,0.0,6.774242483802018e-05,0.00015007637939076004,0.0002568758368668474,0.0003877027219478518,0.0004971877068773661,0.0003917484341332369,0.00017698735067764543,0.0004971877068773661,0.0003917484341332369,0.0001054392727441292,0.00032020035619972063,0.0001054392727441292
0.35,0.003901793553431895,4.764792400833624e-05,0.0016227920974540872,0.003614895501304516,0.0036266759357628736,0.004186673992028336,2.005501786284138e-05,7.7773400510975e-05,0.0014576131937670152,0.0017958117928051182,0.0033573495644563015,0.003877983124161147,0.003854145629423559,0.0022790014559778077,0.0002868980521273791,0.003854145629423559,0.0022790014559778077,0.001575144173445751,0.00356724757729618,0.001575144173445751
0.4,0.010374709868199635,0.00042112313648630845,0.006021240665235127,0.009986138231640417,0.009917979424222569,0.010848122254272641,0.00033403813285500346,0.0005172298299547536,0.0057183822392158894,0.006340739897526272,0.009573004468478393,0.010416062396862893,0.009953586731713326,0.004353469202964508,0.00038857163655921755,0.009953586731713326,0.004353469202964508,0.005600117528748819,0.009565015095154108,0.005600117528748819
0.45,0.02435981073010139,0.001927995006185648,0.01704654671334307,0.023854997396585108,0.023551725532539,0.025168783288496473,0.0017500347770917943,0.0021214031868988068,0.01643522345310834,0.017685400655554503,0.023078534984897463,0.024646914960587355,0.022431815723915744,0.00731326401675832,0.0005048133335162838,0.022431815723915744,0.00731326401675832,0.015118551707157424,0.02192700239039946,0.015118551707157424
