scenario_id,base_scenario_id,family,controller,collision_under_replay,intervened,comfort_exceed,peak_decel_mps2,brake_duration_s,min_residual_gap_m,peak_delayed_cmd,weight_freq
ngsim_1_3355_0_u0,ngsim_1_3355_0,slower_lead,pi_tuned,False,False,False,0.0,0.0,5.132500987199838,0.0,0.3333333333333333
ngsim_1_3355_0_u1,ngsim_1_3355_0,slower_lead,pi_tuned,False,False,False,0.0,0.0,5.132500987199838,0.0,0.3333333333333333
ngsim_1_3355_0_u2,ngsim_1_3355_0,slower_lead,pi_tuned,False,False,False,0.0,0.0,5.132500987199838,0.0,0.3333333333333333
ngsim_3_9_4_u0,ngsim_3_9_4,slower_lead,pi_tuned,False,False,False,0.0,0.0,6.655308000000101,0.0,0.3333333333333333
ngsim_3_9_4_u1,ngsim_3_9_4,slower_lead,pi_tuned,False,False,False,0.0,0.0,6.655308000000101,0.0,0.3333333333333333
ngsim_3_9_4_u2,ngsim_3_9_4,slower_lead,pi_tuned,False,False,False,0.0,0.0,6.655308000000101,0.0,0.3333333333333333
ngsim_7_5_18_u0,ngsim_7_5_18,slower_lead,pi_tuned,False,False,False,0.0,0.0,6.701145043199994,0.0,0.3333333333333333
ngsim_7_5_18_u1,ngsim_7_5_18,slower_lead,pi_tuned,False,False,False,0.0,0.0,6.701145043199994,0.0,0.3333333333333333
ngsim_7_5_18_u2,ngsim_7_5_18,slower_lead,pi_tuned,False,False,False,0.0,0.0,6.701145043199994,0.0,0.3333333333333333
ngsim_8_3_20_u0,ngsim_8_3_20,slower_lead,pi_tuned,False,False,False,0.0,0.0,11.14491263520013,0.0,0.3333333333333333
ngsim_8_3_20_u1,ngsim_8_3_20,slower_lead,pi_tuned,False,False,False,0.0,0.0,11.14491263520013,0.0,0.3333333333333333
ngsim_8_3_20_u2,ngsim_8_3_20,slower_lead,pi_tuned,False,False,False,0.0,0.0,11.14491263520013,0.0,0.3333333333333333
ngsim_9_4_25_u0,ngsim_9_4_25,slower_lead,pi_tuned,False,False,False,0.0,0.0,6.319830489600196,0.0,0.3333333333333333
ngsim_9_4_25_u1,ngsim_9_4_25,slower_lead,pi_tuned,False,False,False,0.0,0.0,6.319830489600196,0.0,0.3333333333333333
ngsim_9_4_25_u2,ngsim_9_4_25,slower_lead,pi_tuned,False,False,False,0.0,0.0,6.319830489600196,0.0,0.3333333333333333
ngsim_11_1_50_u0,ngsim_11_1_50,slower_lead,pi_tuned,False,False,False,0.0,0.0,4.886026905599999,0.0,0.3333333333333333
ngsim_11_1_50_u1,ngsim_11_1_50,slower_lead,pi_tuned,False,False,False,0.0,0.0,4.886026905599999,0.0,0.3333333333333333
ngsim_11_1_50_u2,ngsim_11_1_50,slower_lead,pi_tuned,False,False,False,0.0,0.0,4.886026905599999,0.0,0.3333333333333333
ngsim_12_6_60_u0,ngsim_12_6_60,slower_lead,pi_tuned,False,True,False,1.6033016164033445,0.8200000000000001,8.138679699908524,0.45,0.3333333333333333
ngsim_12_6_60_u1,ngsim_12_6_60,slower_lead,pi_tuned,False,True,True,3.112912951059053,0.7000000000000001,8.977740488225935,0.45,0.3333333333333333
ngsim_12_6_60_u2,ngsim_12_6_60,slower_lead,pi_tuned,False,True,False,2.9622471973072497,0.54,7.943766425362364,0.45,0.3333333333333333
ngsim_12_17_63_u0,ngsim_12_17_63,slower_lead,pi_tuned,False,False,False,0.0,0.0,8.666115662399642,0.0,0.3333333333333333
ngsim_12_17_63_u1,ngsim_12_17_63,slower_lead,pi_tuned,False,False,False,0.0,0.0,8.666115662399642,0.0,0.3333333333333333
ngsim_12_17_63_u2,ngsim_12_17_63,slower_lead,pi_tuned,False,False,False,0.0,0.0,8.666115662399642,0.0,0.3333333333333333
ngsim_13_7_77_u0,ngsim_13_7_77,slower_lead,pi_tuned,False,False,False,0.0,0.0,7.062801216000025,0.0,0.3333333333333333
ngsim_13_7_77_u1,ngsim_13_7_77,slower_lead,pi_tuned,False,False,False,0.0,0.0,7.062801216000025,0.0,0.3333333333333333
ngsim_13_7_77_u2,ngsim_13_7_77,slower_lead,pi_tuned,False,False,False,0.0,0.0,7.062801216000025,0.0,0.3333333333333333
ngsim_13_15_81_u0,ngsim_13_15_81,stationary_lead,pi_tuned,False,False,False,0.0,0.0,3.98196352,0.0,0.3333333333333333
ngsim_13_15_81_u1,ngsim_13_15_81,stationary_lead,pi_tuned,False,False,False,0.0,0.0,3.98196352,0.0,0.3333333333333333
