delta_s,coverage_star,coverage_pi,coverage_pi_tuned,coverage_pi_sd,coverage_star_ci_low,coverage_star_ci_high,coverage_pi_ci_low,coverage_pi_ci_high,coverage_pi_tuned_ci_low,coverage_pi_tuned_ci_high,coverage_pi_sd_ci_low,coverage_pi_sd_ci_high,coverage_gap_pi,coverage_gap_pi_tuned,coverage_gap_pi_sd,coverage_gap,coverage_gap_tuned,coverage_gain_pi_tuned_vs_base,coverage_gain_pi_sd_vs_base,coverage_gain_tuned_vs_base
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,7.102020524839316e-05,1.1836700874732193e-05,3.551010262419658e-05,3.551010262419658e-05,2.3377484227596097e-05,0.00014233632801865435,0.0,4.734680349892877e-05,0.0,8.285690612312535e-05,0.0,8.285690612312535e-05,5.9183504373660966e-05,3.551010262419658e-05,3.551010262419658e-05,5.9183504373660966e-05,3.551010262419658e-05,2.3673401749464386e-05,2.3673401749464386e-05,2.3673401749464386e-05
0.3,0.00031959092361776926,3.551010262419658e-05,0.0001302037096220541,0.0002248973166199117,0.0002012239148704473,0.0004734680349892877,0.0,9.469360699785755e-05,5.9183504373660966e-05,0.0002248973166199117,0.0001302037096220541,0.00034326432536723367,0.0002840808209935727,0.00018938721399571514,9.469360699785755e-05,0.0002840808209935727,0.00018938721399571514,9.469360699785753e-05,0.00018938721399571514,9.469360699785753e-05
0.35,0.0029355018169335847,9.469360699785755e-05,0.0015861179172141136,0.002781624705562066,0.0024854112661718926,0.0033379496466744785,1.1836700874732193e-05,0.0002012239148704473,0.0013020370962205418,0.001882331356604287,0.0023670442574245704,0.003160695051075364,0.002840808209935727,0.001349383899719471,0.00015387711137151852,0.002840808209935727,0.001349383899719471,0.0014914243102162562,0.0026869310985642085,0.0014914243102162562
0.4,0.008913035758673341,0.0005089781376134843,0.006048554146988152,0.008723648544677626,0.00813151758341915,0.009541564575121621,0.00031959092361776926,0.0006865286507344671,0.00549193328835387,0.006640389190724761,0.007954262987820034,0.009374667092787899,0.008404057621059856,0.002864481611685189,0.00018938721399571444,0.008404057621059856,0.002864481611685189,0.005539576009374668,0.008214670407064141,0.005539576009374668
0.45,0.02424156339145154,0.002248973166199117,0.0193766793319366,0.023969319271332695,0.022998413882082788,0.025604263579655076,0.0018699028206858185,0.002604370109962951,0.018298651799770367,0.020477788430808566,0.022785649183859478,0.025238213605103983,0.02199259022525242,0.004864884059514938,0.0002722441201188433,0.02199259022525242,0.004864884059514938,0.017127706165737482,0.021720346105133577,0.017127706165737482
