delta_s,coverage_star,coverage_pi,coverage_pi_tuned,coverage_pi_sd,coverage_star_ci_low,coverage_star_ci_high,coverage_pi_ci_low,coverage_pi_ci_high,coverage_pi_tuned_ci_low,coverage_pi_tuned_ci_high,coverage_pi_sd_ci_low,coverage_pi_sd_ci_high,coverage_gap_pi,coverage_gap_pi_tuned,coverage_gap_pi_sd,coverage_gap,coverage_gap_tuned,coverage_gain_pi_tuned_vs_base,coverage_gain_pi_sd_vs_base,coverage_gain_tuned_vs_base
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,3.128273912990685e-05,5.213789854984476e-06,1.5641369564953426e-05,1.5641369564953426e-05,1.017902537655168e-05,6.30364419993213e-05,0.0,2.0778462600165832e-05,0.0,3.6552686582975876e-05,0.0,3.6552686582975876e-05,2.6068949274922376e-05,1.5641369564953426e-05,1.5641369564953426e-05,2.6068949274922376e-05,1.5641369564953426e-05,1.042757970996895e-05,1.042757970996895e-05,1.042757970996895e-05
0.3,0.00014676217573528027,1.5641369564953426e-05,6.268285716664689e-05,0.00010505185689540445,9.32815819800015e-05,0.00021562664237227634,0.0,4.200136782434282e-05,2.619280856856262e-05,0.00010929828665857861,5.777750491791018e-05,0.0001558445026737167,0.00013112080617032684,8.407931856863338e-05,4.171031883987581e-05,0.00013112080617032684,8.407931856863338e-05,4.7041487601693464e-05,8.941048733045103e-05,4.7041487601693464e-05
0.35,0.001299009733686849,4.1710318839875805e-05,0.0007039790093297375,0.0012312304655720508,0.0010963121575354613,0.0014736092504568838,5.236147862095591e-06,8.869235407370475e-05,0.0005800828091451032,0.0008333939659610906,0.0010491483091581418,0.0013948853520251742,0.001257299414846973,0.0005950307243571115,6.777926811479817e-05,0.001257299414846973,0.0005950307243571115,0.0006622686904898617,0.001189520146732175,0.0006622686904898617
0.4,0.003962625146901302,0.0002383628498128312,0.002696092276162336,0.00387920450922155,0.003604110717268353,0.0042632364735757785,0.00015009822100498313,0.00032450719194024454,0.0024380759538003465,0.002958018726437992,0.003526677942253536,0.0041907896216854005,0.003724262297088471,0.001266532870738966,8.342063767975173e-05,0.003724262297088471,0.001266532870738966,0.002457729426349505,0.003640841659408719,0.002457729426349505
0.45,0.010815736052591608,0.001048010457134995,0.008650070265872976,0.010695138319909345,0.010248602666352686,0.011425819861808401,0.0008623195997749248,0.001230393749896817,0.008158750478216691,0.00916480847630727,0.010141380148901084,0.01130239614460688,0.009767725595456613,0.002165665786718632,0.00012059773268226215,0.009767725595456613,0.002165665786718632,0.007602059808737981,0.00964712786277435,0.007602059808737981
