scenario_id,base_scenario_id,family,controller,collision_under_replay,intervened,comfort_exceed,peak_decel_mps2,brake_duration_s,min_residual_gap_m,peak_delayed_cmd,weight_freq
ngsim_4_6_4_u0,ngsim_4_6_4,slower_lead,pi,False,False,False,0.0,0.0,8.950742169600012,0.0,0.3333333333333333
ngsim_4_6_4_u1,ngsim_4_6_4,slower_lead,pi,False,False,False,0.0,0.0,8.950742169600012,0.0,0.3333333333333333
ngsim_4_6_4_u2,ngsim_4_6_4,slower_lead,pi,False,False,False,0.0,0.0,8.950742169600012,0.0,0.3333333333333333
ngsim_6_1_8_u0,ngsim_6_1_8,slower_lead,pi,False,False,False,0.0,0.0,3.6165269807991276,0.0,0.3333333333333333
ngsim_6_1_8_u1,ngsim_6_1_8,slower_lead,pi,False,False,False,0.0,0.0,3.6165269807991276,0.0,0.3333333333333333
ngsim_6_1_8_u2,ngsim_6_1_8,slower_lead,pi,False,False,False,0.0,0.0,3.6165269807991276,0.0,0.3333333333333333
ngsim_6_2_10_u0,ngsim_6_2_10,slower_lead,pi,False,False,False,0.0,0.0,7.076053920000766,0.0,0.3333333333333333
ngsim_6_2_10_u1,ngsim_6_2_10,slower_lead,pi,False,False,False,0.0,0.0,7.076053920000766,0.0,0.3333333333333333
ngsim_6_2_10_u2,ngsim_6_2_10,slower_lead,pi,False,False,False,0.0,0.0,7.076053920000766,0.0,0.3333333333333333
ngsim_8_4_16_u0,ngsim_8_4_16,slower_lead,pi,False,False,False,0.0,0.0,5.591918102400001,0.0,0.3333333333333333
ngsim_8_4_16_u1,ngsim_8_4_16,slower_lead,pi,False,False,False,0.0,0.0,5.591918102400001,0.0,0.3333333333333333
ngsim_8_4_16_u2,ngsim_8_4_16,slower_lead,pi,False,False,False,0.0,0.0,5.591918102400001,0.0,0.3333333333333333
ngsim_13_8_53_u0,ngsim_13_8_53,slower_lead,pi,False,False,False,0.0,0.0,3.3773546880000174,0.0,0.3333333333333333
ngsim_13_8_53_u1,ngsim_13_8_53,slower_lead,pi,False,False,False,0.0,0.0,3.3773546880000174,0.0,0.3333333333333333
ngsim_13_8_53_u2,ngsim_13_8_53,slower_lead,pi,False,False,False,0.0,0.0,3.3773546880000174,0.0,0.3333333333333333
