scenario_id,base_scenario_id,family,controller,collision_under_replay,intervened,comfort_exceed,peak_decel_mps2,brake_duration_s,min_residual_gap_m,peak_delayed_cmd,weight_freq
ngsim_4_6_4_u0,ngsim_4_6_4,slower_lead,pi_sd,False,False,False,0.0,0.0,8.950742169600012,0.0,0.3333333333333333
ngsim_4_6_4_u1,ngsim_4_6_4,slower_lead,pi_sd,False,False,False,0.0,0.0,8.950742169600012,0.0,0.3333333333333333
ngsim_4_6_4_u2,ngsim_4_6_4,slower_lead,pi_sd,False,False,False,0.0,0.0,8.950742169600012,0.0,0.3333333333333333
ngsim_6_1_8_u0,ngsim_6_1_8,slower_lead,pi_sd,False,True,False,1.1599862017901923,0.44,4.797657627655846,0.4032997642075241,0.3333333333333333
ngsim_6_1_8_u1,ngsim_6_1_8,slower_lead,pi_sd,False,True,False,2.1537747145997486,0.58,4.837984403701594,0.40031110031017497,0.3333333333333333
ngsim_6_1_8_u2,ngsim_6_1_8,slower_lead,pi_sd,False,True,False,2.038060718998388,0.7000000000000001,4.802527458307715,0.40128772736327967,0.3333333333333333
ngsim_6_2_10_u0,ngsim_6_2_10,slower_lead,pi_sd,False,True,False,0.837560399257925,0.1,7.504381778998258,0.3549521378818295,0.3333333333333333
ngsim_6_2_10_u1,ngsim_6_2_10,slower_lead,pi_sd,False,True,False,1.1852735151364955,0.14,7.670477233666342,0.3549521378818295,0.3333333333333333
ngsim_6_2_10_u2,ngsim_6_2_10,slower_lead,pi_sd,False,False,False,0.5585308993952329,0.02,7.367457951175158,0.3538846475140204,0.3333333333333333
ngsim_8_4_16_u0,ngsim_8_4_16,slower_lead,pi_sd,False,False,False,0.0,0.0,5.591918102400001,0.0,0.3333333333333333
ngsim_8_4_16_u1,ngsim_8_4_16,slower_lead,pi_sd,False,False,False,0.0,0.0,5.591918102400001,0.0,0.3333333333333333
ngsim_8_4_16_u2,ngsim_8_4_16,slower_lead,pi_sd,False,False,False,0.0,0.0,5.591918102400001,0.0,0.3333333333333333
ngsim_13_8_53_u0,ngsim_13_8_53,slower_lead,pi_sd,False,False,False,0.0,0.0,3.3773546880000174,0.0,0.3333333333333333
ngsim_13_8_53_u1,ngsim_13_8_53,slower_lead,pi_sd,False,False,False,0.0,0.0,3.3773546880000174,0.0,0.3333333333333333
ngsim_13_8_53_u2,ngsim_13_8_53,slower_lead,pi_sd,False,False,False,0.0,0.0,3.3773546880000174,0.0,0.3333333333333333
ngsim_13_8_61_u0,ngsim_13_8_61,slower_lead,pi_sd,False,False,False,0.0,0.0,11.156040883199957,0.0,0.3333333333333333
ngsim_13_8_61_u1,ngsim_13_8_61,slower_lead,pi_sd,False,False,False,0.0,0.0,11.156040883199957,0.0,0.3333333333333333
ngsim_13_8_61_u2,ngsim_13_8_61,slower_lead,pi_sd,False,False,False,0.0,0.0,11.156040883199957,0.0,0.3333333333333333
ngsim_17_13_87_u0,ngsim_17_13_87,slower_lead,pi_sd,False,True,False,2.046992452112683,0.62,3.668207040870209,0.6558372459425217,0.3333333333333333
ngsim_17_13_87_u1,ngsim_17_13_87,slower_lead,pi_sd,False,True,False,2.1360517815703384,0.36,3.7197432323472683,0.6558372459425217,0.3333333333333333
ngsim_17_13_87_u2,ngsim_17_13_87,slower_lead,pi_sd,False,True,False,1.509045322070356,0.34,3.729715969736875,0.6558372459425217,0.3333333333333333
ngsim_17_13_89_u0,ngsim_17_13_89,slower_lead,pi_sd,False,False,False,0.0,0.0,7.06640700000006,0.0,0.3333333333333333
ngsim_17_13_89_u1,ngsim_17_13_89,slower_lead,pi_sd,False,False,False,0.0,0.0,7.06640700000006,0.0,0.3333333333333333
ngsim_17_13_89_u2,ngsim_17_13_89,slower_lead,pi_sd,False,False,False,0.0,0.0,7.06640700000006,0.0,0.3333333333333333
ngsim_19_15_107_u0,ngsim_19_15_107,slower_lead,pi_sd,False,True,False,1.5160534007681175,0.26,9.180060266042807,0.4495228695722102,0.3333333333333333
