controller,saturation,delta_abs_q50_s,delta_abs_q90_s,delta_abs_q95_s,delta_rel_q90_s,dataset,weight_mode,controller_label,n_instances,sat_gap_vs_star,delta90_penalty_vs_star_s,delta_rel90_penalty_vs_star_s
star,0.9941881798705066,1.0,1.6,1.8,1.55,us101,frequency,Upper bound,84483,0.0,0.0,0.0
pi,0.5097593598712169,2.3,,,1.55,us101,frequency,Weak TTC,84483,0.48442881999928966,,0.0
pi_tuned,0.9545707420427779,1.05,1.7,2.3,1.55,us101,frequency,Strong TTC,84483,0.03961743782772864,0.09999999999999987,0.0
pi_sd,0.9620752103973582,1.0,1.65,2.0,1.55,us101,frequency,Stopping-distance,84483,0.032112969473148345,0.04999999999999982,0.0
rss_longitudinal,0.9545470686410285,1.0,1.7,2.35,1.55,us101,frequency,RSS longitudinal,84483,0.03964111122947811,0.09999999999999987,0.0
star,0.9944921985183881,0.9,1.45,1.65,1.45,i80,frequency,Upper bound,134718,0.0,0.0,0.0
pi,0.4936088718656757,,,,1.55,i80,frequency,Weak TTC,134718,0.5008833266527124,,0.10000000000000009
pi_tuned,0.9459834617497305,0.95,1.65,,1.45,i80,frequency,Strong TTC,134718,0.048508736768657634,0.19999999999999996,0.0
pi_sd,0.9610519752371636,0.9,1.5,1.9,1.4,i80,frequency,Stopping-distance,134718,0.033440223281224535,0.050000000000000044,-0.050000000000000044
rss_longitudinal,0.9540447453198548,0.9,1.55,2.25,1.4,i80,frequency,RSS longitudinal,134718,0.04044745319853327,0.10000000000000009,-0.050000000000000044
star,0.9943750256613791,0.95,1.5,1.7,1.5,ngsim_pooled,frequency,Upper bound,219201,0.0,0.0,0.0
pi,0.4998334861611032,,,,1.55,ngsim_pooled,frequency,Weak TTC,219201,0.49454153950027596,,0.050000000000000044
pi_tuned,0.9492931145387109,0.95,1.7,,1.5,ngsim_pooled,frequency,Strong TTC,219201,0.04508191112266824,0.19999999999999996,0.0
pi_sd,0.9614463437666797,0.95,1.55,1.95,1.45,ngsim_pooled,frequency,Stopping-distance,219201,0.03292868189469944,0.050000000000000044,-0.050000000000000044
rss_longitudinal,0.9542383474527943,0.95,1.6,2.25,1.45,ngsim_pooled,frequency,RSS longitudinal,219201,0.0401366782085848,0.10000000000000009,-0.050000000000000044
star,0.9970844266733314,1.15,1.85,2.1,1.8,highd_external,frequency,Upper bound,24009,0.0,0.0,0.0
pi,0.6736223916031492,1.4,,,1.75,highd_external,frequency,Weak TTC,24009,0.32346203507018223,,-0.050000000000000044
pi_tuned,0.9736765379649304,1.15,1.9,2.3,1.8,highd_external,frequency,Strong TTC,24009,0.023407888708401048,0.04999999999999982,0.0
pi_sd,0.9937523428714238,1.15,1.85,2.15,1.8,highd_external,frequency,Stopping-distance,24009,0.003332083801907637,0.0,0.0
rss_longitudinal,0.9914198842100884,1.15,1.85,2.15,1.8,highd_external,frequency,RSS longitudinal,24009,0.005664542463242994,0.0,0.0
