delta_s,coverage_star,coverage_pi,coverage_pi_tuned,coverage_pi_sd,coverage_rss_longitudinal,coverage_star_ci_low,coverage_star_ci_high,coverage_pi_ci_low,coverage_pi_ci_high,coverage_pi_tuned_ci_low,coverage_pi_tuned_ci_high,coverage_pi_sd_ci_low,coverage_pi_sd_ci_high,coverage_rss_longitudinal_ci_low,coverage_rss_longitudinal_ci_high,coverage_gap_pi,coverage_gap_pi_tuned,coverage_gap_pi_sd,coverage_gap_rss_longitudinal,coverage_gap,coverage_gap_tuned,coverage_gain_pi_tuned_vs_base,coverage_gain_pi_sd_vs_base,coverage_gain_rss_longitudinal_vs_base,coverage_gain_tuned_vs_base
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,8.330209504769047e-05,8.330209504769047e-05,8.330209504769047e-05,8.330209504769047e-05,8.330209504769047e-05,0.0,0.0002499062851430714,0.0,0.0002499062851430714,0.0,0.0002499062851430714,0.0,0.0002499062851430714,0.0,0.0002499062851430714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0001249531425715357,0.0001249531425715357,0.0001249531425715357,0.0001249531425715357,0.0001249531425715357,0.0,0.0003748594277146071,0.0,0.0003748594277146071,0.0,0.0003748594277146071,0.0,0.0003748594277146071,0.0,0.0003748594277146071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.00016660419009538094,0.0001249531425715357,0.00016660419009538094,0.00016660419009538094,0.00016660419009538094,0.0,0.00041651047523845236,0.0,0.0003748594277146071,0.0,0.00041651047523845236,0.0,0.00041651047523845236,0.0,0.00041651047523845236,4.1651047523845236e-05,0.0,0.0,0.0,4.1651047523845236e-05,0.0,4.1651047523845236e-05,4.1651047523845236e-05,4.1651047523845236e-05,4.1651047523845236e-05
0.3,0.0003748594277146071,0.00016660419009538094,0.00029155733266691665,0.00029155733266691665,0.00029155733266691665,8.330209504769047e-05,0.0007497188554292144,0.0,0.00041651047523845236,4.1651047523845236e-05,0.0005831146653338334,4.1651047523845236e-05,0.0005831146653338334,4.1651047523845236e-05,0.0005831146653338334,0.00020825523761922618,8.330209504769047e-05,8.330209504769047e-05,8.330209504769047e-05,0.00020825523761922618,8.330209504769047e-05,0.0001249531425715357,0.0001249531425715357,0.0001249531425715357,0.0001249531425715357
0.35,0.0007497188554292144,0.0003748594277146071,0.0005831146653338334,0.0005831146653338334,0.0005831146653338334,0.0003332083801907619,0.0011256195593319167,0.0001249531425715357,0.000667458036569619,0.0002499062851430714,0.0009173643217126907,0.0002499062851430714,0.0009173643217126907,0.0002499062851430714,0.0009173643217126907,0.00037485942771460723,0.00016660419009538094,0.00016660419009538094,0.00016660419009538094,0.00037485942771460723,0.00016660419009538094,0.0002082552376192263,0.0002082552376192263,0.0002082552376192263,0.0002082552376192263
0.4,0.0023741097088591785,0.0012495314257153574,0.002082552376192262,0.0021658544712399525,0.0021658544712399525,0.0016650006247657134,0.003123828564288393,0.0007913699029530596,0.0017909950435253453,0.0014577866633345834,0.002750010412761881,0.001541088758382274,0.0028739222791453215,0.001541088758382274,0.0028739222791453215,0.001124578283143821,0.0002915573326669166,0.00020825523761922602,0.00020825523761922602,0.001124578283143821,0.0002915573326669166,0.0008330209504769045,0.0009163230455245951,0.0009163230455245951,0.0008330209504769045
0.45,0.005997750843433714,0.003915198467241452,0.005706193510766797,0.0057894956058144875,0.0057894956058144875,0.004788829189054107,0.007205631221625226,0.002956183098004916,0.005082469074097215,0.004623266275146822,0.006915115165146405,0.004664917322670667,0.0069994585363821905,0.004664917322670667,0.0069994585363821905,0.002082552376192262,0.00029155733266691703,0.00020825523761922645,0.00020825523761922645,0.002082552376192262,0.00029155733266691703,0.0017909950435253449,0.0018742971385730355,0.0018742971385730355,0.0017909950435253449
