delta_s,coverage_star,coverage_pi,coverage_pi_tuned,coverage_pi_sd,coverage_rss_longitudinal,coverage_star_ci_low,coverage_star_ci_high,coverage_pi_ci_low,coverage_pi_ci_high,coverage_pi_tuned_ci_low,coverage_pi_tuned_ci_high,coverage_pi_sd_ci_low,coverage_pi_sd_ci_high,coverage_rss_longitudinal_ci_low,coverage_rss_longitudinal_ci_high,coverage_gap_pi,coverage_gap_pi_tuned,coverage_gap_pi_sd,coverage_gap_rss_longitudinal,coverage_gap,coverage_gap_tuned,coverage_gain_pi_tuned_vs_base,coverage_gain_pi_sd_vs_base,coverage_gain_rss_longitudinal_vs_base,coverage_gain_tuned_vs_base
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,1.9664108028205122e-05,1.9664108028205122e-05,1.9664108028205122e-05,1.9664108028205122e-05,1.9664108028205122e-05,0.0,5.905211104506438e-05,0.0,5.905211104506438e-05,0.0,5.905211104506438e-05,0.0,5.905211104506438e-05,0.0,5.905211104506438e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,2.9496162042307683e-05,2.9496162042307683e-05,2.9496162042307683e-05,2.9496162042307683e-05,2.9496162042307683e-05,0.0,8.857816656759657e-05,0.0,8.857816656759657e-05,0.0,8.857816656759657e-05,0.0,8.857816656759657e-05,0.0,8.857816656759657e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,4.555892908701929e-05,2.9496162042307683e-05,4.555892908701929e-05,4.555892908701929e-05,4.555892908701929e-05,0.0,0.00010831758432119153,0.0,8.857816656759657e-05,0.0,0.00010831758432119153,0.0,0.00010831758432119153,0.0,0.00010831758432119153,1.6062767044711604e-05,0.0,0.0,0.0,1.6062767044711604e-05,0.0,1.6062767044711604e-05,1.6062767044711604e-05,1.6062767044711604e-05,1.6062767044711604e-05
0.3,8.95558081916413e-05,3.88991502793724e-05,7.148354153156962e-05,7.148354153156962e-05,7.148354153156962e-05,1.7769939662846406e-05,0.00016998965128611757,0.0,9.72234987257211e-05,9.3239704879347e-06,0.00014853315259073604,9.3239704879347e-06,0.00014853315259073604,9.3239704879347e-06,0.00014853315259073604,5.06566579122689e-05,1.807226666007168e-05,1.807226666007168e-05,1.807226666007168e-05,5.06566579122689e-05,1.807226666007168e-05,3.258439125219722e-05,3.258439125219722e-05,3.258439125219722e-05,3.258439125219722e-05
0.35,0.00017349567000342572,8.098612616077509e-05,0.00013735113668328233,0.00013735113668328233,0.00013735113668328233,7.670239350470431e-05,0.0002679711375139534,2.450014487185967e-05,0.00014933540640306867,5.668358489637303e-05,0.00022628240489723007,5.668358489637303e-05,0.00022628240489723007,5.668358489637303e-05,0.00022628240489723007,9.250954384265063e-05,3.614453332014339e-05,3.614453332014339e-05,3.614453332014339e-05,9.250954384265063e-05,3.614453332014339e-05,5.636501052250724e-05,5.636501052250724e-05,5.636501052250724e-05,5.636501052250724e-05
0.4,0.0005799846044098803,0.0003024693939520819,0.0005176650125590677,0.0005338705963002628,0.0005338705963002628,0.00039916650332108615,0.0007575098481961215,0.00019044918840195854,0.000435023937678978,0.0003508348910743349,0.0007040966293629324,0.0003604704689460089,0.0007086583296157208,0.0003604704689460089,0.0007086583296157208,0.0002775152104577984,6.231959185081263e-05,4.6114008109617455e-05,4.6114008109617455e-05,0.0002775152104577984,6.231959185081263e-05,0.0002151956186069858,0.00023140120234818097,0.00023140120234818097,0.0002151956186069858
0.45,0.001507116082310629,0.0010166755465149762,0.0014466631733786929,0.001462868757119888,0.001462868757119888,0.001183474255095638,0.0018322312188257086,0.0007572794960000206,0.0013131323228014432,0.0011363784082937436,0.0017797681436452824,0.0011443605279029434,0.0017975720832540294,0.0011443605279029434,0.0017975720832540294,0.0004904405357956528,6.045290893193613e-05,4.424732519074095e-05,4.424732519074095e-05,0.0004904405357956528,6.045290893193613e-05,0.0004299876268637167,0.0004461932106049119,0.0004461932106049119,0.0004299876268637167
