driving_direction,location_id,controller,saturation,delta_abs_q50_s,delta_abs_q90_s,delta_abs_q95_s,delta_rel_q90_s,dataset,weight_mode,controller_label,n_instances,sat_gap_vs_star,delta90_penalty_vs_star_s,delta_rel90_penalty_vs_star_s
1,1,star,0.9971081058093048,1.15,1.8,2.05,1.8,highd_external,frequency,Upper bound,11757,0.0,0.0,0.0
1,1,pi,0.6140171812537212,1.55,,,1.8,highd_external,frequency,Weak TTC,11757,0.3830909245555836,,0.0
1,1,pi_tuned,0.9725270051883981,1.15,1.85,2.3,1.75,highd_external,frequency,Strong TTC,11757,0.024581100620906682,0.050000000000000044,-0.050000000000000044
1,1,pi_sd,0.9908139831589688,1.15,1.8,2.1,1.75,highd_external,frequency,Stopping-distance,11757,0.006294122650335909,0.0,-0.050000000000000044
1,1,rss_longitudinal,0.9868163647188906,1.15,1.85,2.15,1.75,highd_external,frequency,RSS longitudinal,11757,0.010291741090414197,0.050000000000000044,-0.050000000000000044
1,1,star,0.9916688508488172,1.35,2.15,2.5,2.15,highd_external,severity,Upper bound,11757,0.0,0.0,0.0
1,1,pi,0.5541147403637224,1.9,,,1.9,highd_external,severity,Weak TTC,11757,0.43755411048509474,,-0.25
1,1,pi_tuned,0.9424233649102864,1.4,2.4,,2.05,highd_external,severity,Strong TTC,11757,0.04924548593853073,0.25,-0.10000000000000009
1,1,pi_sd,0.9824768825164527,1.35,2.2,2.55,2.1,highd_external,severity,Stopping-distance,11757,0.009191968332364464,0.050000000000000266,-0.04999999999999982
1,1,rss_longitudinal,0.9810523944995249,1.35,2.2,2.6,2.15,highd_external,severity,RSS longitudinal,11757,0.010616456349292314,0.050000000000000266,0.0
2,1,star,0.9960031974420462,1.05,1.65,1.95,1.6,highd_external,frequency,Upper bound,6255,0.0,0.0,0.0
2,1,pi,0.7474020783373299,1.15,,,1.6,highd_external,frequency,Weak TTC,6255,0.24860111910471638,,0.0
