delta_s,coverage_star,coverage_pi,coverage_pi_tuned,coverage_pi_sd,coverage_rss_longitudinal,coverage_star_ci_low,coverage_star_ci_high,coverage_pi_ci_low,coverage_pi_ci_high,coverage_pi_tuned_ci_low,coverage_pi_tuned_ci_high,coverage_pi_sd_ci_low,coverage_pi_sd_ci_high,coverage_rss_longitudinal_ci_low,coverage_rss_longitudinal_ci_high,coverage_gap_pi,coverage_gap_pi_tuned,coverage_gap_pi_sd,coverage_gap_rss_longitudinal,coverage_gap,coverage_gap_tuned,coverage_gain_pi_tuned_vs_base,coverage_gain_pi_sd_vs_base,coverage_gain_rss_longitudinal_vs_base,coverage_gain_tuned_vs_base
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,4.562022983471789e-06,0.0,0.0,0.0,0.0,0.0,1.3686068950415365e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.562022983471789e-06,4.562022983471789e-06,4.562022983471789e-06,4.562022983471789e-06,4.562022983471789e-06,4.562022983471789e-06,0.0,0.0,0.0,0.0
0.25,0.0001231746205537383,4.562022983471789e-06,1.8248091933887154e-05,1.8248091933887154e-05,1.8248091933887154e-05,7.299236773554862e-05,0.00017335687337192797,0.0,1.3686068950415365e-05,4.447972408885001e-06,3.649618386777431e-05,4.447972408885001e-06,3.649618386777431e-05,4.447972408885001e-06,3.649618386777431e-05,0.0001186125975702665,0.00010492652861985113,0.00010492652861985113,0.00010492652861985113,0.0001186125975702665,0.00010492652861985113,1.3686068950415365e-05,1.3686068950415365e-05,1.3686068950415365e-05,1.3686068950415365e-05
0.3,0.0007253616543720144,1.3686068950415365e-05,0.00017791889635539976,0.00047445039028106605,0.00048357443624800963,0.0006066350062271612,0.0008486503255003394,0.0,3.649618386777431e-05,0.0001276225929626233,0.00022810114917358945,0.0003694098110866281,0.0005656908499505016,0.00038320993061163026,0.0005793769189009168,0.000711675585421599,0.0005474427580166146,0.0002509112640909483,0.00024178721812400473,0.000711675585421599,0.0005474427580166146,0.0001642328274049844,0.0004607643213306507,0.00046988836729759426,0.0001642328274049844
0.35,0.0058485134648108335,9.124045966943578e-05,0.002572980962678089,0.005442493419281843,0.005492675672100033,0.005533619828376693,0.006168083174803033,4.562022983471789e-05,0.00013686068950415366,0.002372137900830743,0.002782948070492378,0.005154971920748534,0.005734805041947798,0.005209374044826436,0.005784645143042228,0.005757273005141398,0.0032755325021327445,0.0004060200455289903,0.0003558377927108001,0.005757273005141398,0.0032755325021327445,0.0024817405030086535,0.005351252959612408,0.005401435212430598,0.0024817405030086535
0.4,0.01591689818933307,0.0006706173785703529,0.009562000173356868,0.015374017454299928,0.015433323753085062,0.01538679111865365,0.016455330951957326,0.0005564527534089713,0.0007847820037317344,0.009128607989927049,0.009977828568300323,0.014831022668692198,0.01590788819394071,0.014890328967477332,0.015958298547908076,0.015246280810762717,0.006354898015976201,0.000542880735033141,0.00048357443624800697,0.015246280810762717,0.006354898015976201,0.008891382794786516,0.014703400075729576,0.01476270637451471,0.008891382794786516
0.45,0.03861296253210522,0.0031204237206947033,0.027951514819731647,0.03790128694668362,0.03796059324546875,0.037663947700968495,0.03953483332649028,0.0028602743600622243,0.0033987071226864824,0.027134798655115613,0.028664102809749945,0.03698819804654174,0.03878700370892466,0.037016140437315506,0.038841519883577154,0.03549253881141052,0.010661447712373574,0.000711675585421602,0.0006523692866364714,0.03549253881141052,0.010661447712373574,0.024831091099036945,0.03478086322598892,0.03484016952477405,0.024831091099036945
