delta_s,coverage_star,coverage_pi,coverage_pi_tuned,coverage_pi_sd,coverage_rss_longitudinal,coverage_star_ci_low,coverage_star_ci_high,coverage_pi_ci_low,coverage_pi_ci_high,coverage_pi_tuned_ci_low,coverage_pi_tuned_ci_high,coverage_pi_sd_ci_low,coverage_pi_sd_ci_high,coverage_rss_longitudinal_ci_low,coverage_rss_longitudinal_ci_high,coverage_gap_pi,coverage_gap_pi_tuned,coverage_gap_pi_sd,coverage_gap_rss_longitudinal,coverage_gap,coverage_gap_tuned,coverage_gain_pi_tuned_vs_base,coverage_gain_pi_sd_vs_base,coverage_gain_rss_longitudinal_vs_base,coverage_gain_tuned_vs_base
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,2.1864864699160497e-06,0.0,0.0,0.0,0.0,0.0,6.589316754502041e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1864864699160497e-06,2.1864864699160497e-06,2.1864864699160497e-06,2.1864864699160497e-06,2.1864864699160497e-06,2.1864864699160497e-06,0.0,0.0,0.0,0.0
0.25,5.9035134687733344e-05,2.1864864699160497e-06,8.745945879664199e-06,8.745945879664199e-06,8.745945879664199e-06,3.504035113385479e-05,8.289121138579932e-05,0.0,6.573361259736605e-06,2.1199028728167893e-06,1.7553873627494737e-05,2.1199028728167893e-06,1.7553873627494737e-05,2.1199028728167893e-06,1.7553873627494737e-05,5.6848648217817295e-05,5.028918880806915e-05,5.028918880806915e-05,5.028918880806915e-05,5.6848648217817295e-05,5.028918880806915e-05,6.5594594097481496e-06,6.5594594097481496e-06,6.5594594097481496e-06,6.5594594097481496e-06
0.3,0.0003502311351960555,6.5594594097481496e-06,8.750868352544436e-05,0.00022997437935067276,0.00023434735229050486,0.0002903863391703915,0.0004107761357734514,0.0,1.7444793014541977e-05,6.140121744218105e-05,0.00011412706851649279,0.00018110480851148445,0.00027515273618260156,0.00018549882170046877,0.0002788965428383179,0.0003436716757863074,0.00026272245167061113,0.00012025675584538276,0.00011588378290555067,0.0003436716757863074,0.00026272245167061113,8.094922411569622e-05,0.0002234149199409246,0.0002277878928807567,8.094922411569622e-05
0.35,0.0028102743775011083,4.515789396768725e-05,0.001237473079725542,0.002615267304848082,0.0026396071013115945,0.0026526866775458814,0.0029745627947905065,2.3465229381866986e-05,6.670237883371348e-05,0.0011412344713062606,0.0013406290562267887,0.0024792337734136044,0.0027602947254873394,0.002498107860148671,0.0027807857408150435,0.002765116483533421,0.0015728012977755663,0.00019500707265302647,0.00017066727618951375,0.002765116483533421,0.0015728012977755663,0.0011923151857578546,0.0025701094108803945,0.002594449207343907,0.0011923151857578546
0.4,0.007685699210497173,0.00034447967651495795,0.0046267863114179755,0.007425097543746665,0.007453810313150011,0.007419814402961665,0.007961384526427735,0.00028120387513316114,0.0004071319515699429,0.004415975909510306,0.004827514057214976,0.007163669115660083,0.007702077810873017,0.007187757380677272,0.007721968877249768,0.007341219533982216,0.003058912899079198,0.00026060166675050817,0.00023188889734716226,0.007341219533982216,0.003058912899079198,0.004282306634903018,0.0070806178672317074,0.007109330636635053,0.004282306634903018
0.45,0.018679885598175284,0.001558959359611788,0.013525349530873046,0.018336199244479854,0.018364887440575812,0.018205088340102146,0.019206932396377035,0.0014379566226102515,0.0016943957229103382,0.013128156441869281,0.013905778361346505,0.017844408527936794,0.018833775690737995,0.017868907713791248,0.018861828153779455,0.017120926238563497,0.005154536067302238,0.0003436863536954299,0.00031499815759947203,0.017120926238563497,0.005154536067302238,0.011966390171261257,0.016777239884868067,0.016805928080964025,0.011966390171261257
