dataset,weight_mode,controller,controller_label,metric,value,ci_low,ci_high,n_boot
us101,frequency,star,Upper bound,saturation,0.9941881798705066,0.993418794313649,0.9947681782133684,400
us101,frequency,pi,Weak TTC,saturation,0.5097593598712169,0.5062554004947744,0.5137604606843982,400
us101,frequency,pi_tuned,Strong TTC,saturation,0.954570742042778,0.9529606548062926,0.9563350023081568,400
us101,frequency,pi_sd,Stopping-distance,saturation,0.9620752103973582,0.960536439283643,0.9636379508303446,400
us101,severity,star,Upper bound,saturation,0.9743957908727016,0.9702594507166178,0.9777112128403844,400
us101,severity,pi,Weak TTC,saturation,0.4606130344918582,0.4559641772075067,0.4655720712953136,400
us101,severity,pi_tuned,Strong TTC,saturation,0.912148498939372,0.907240790247498,0.916831344812884,400
us101,severity,pi_sd,Stopping-distance,saturation,0.9241971267368684,0.9193842374293012,0.9284742582597292,400
i80,frequency,star,Upper bound,saturation,0.994492198518388,0.9938760967354026,0.9950494737154648,400
i80,frequency,pi,Weak TTC,saturation,0.4936088718656757,0.4905645496518652,0.4970497632090735,400
i80,frequency,pi_tuned,Strong TTC,saturation,0.9459834617497304,0.9444591665553228,0.947475467272376,400
i80,frequency,pi_sd,Stopping-distance,saturation,0.9610519752371636,0.959871360916878,0.9622999524933562,400
i80,severity,star,Upper bound,saturation,0.9709964365122988,0.967393538602518,0.9743736688998662,400
i80,severity,pi,Weak TTC,saturation,0.4706277660996734,0.4664766170763668,0.4750232306503209,400
i80,severity,pi_tuned,Strong TTC,saturation,0.910867423562483,0.9071762310101572,0.914786197749336,400
i80,severity,pi_sd,Stopping-distance,saturation,0.91128902367563,0.9077800063996664,0.9150773127616412,400
