recording_id,controller,saturation,delta_abs_q50_s,delta_abs_q90_s,delta_abs_q95_s,delta_rel_q90_s,dataset,weight_mode,controller_label,n_instances,sat_gap_vs_star,delta90_penalty_vs_star_s,delta_rel90_penalty_vs_star_s
01,star,0.9961240310077517,1.2,1.9,2.15,1.9,highd_external,frequency,Upper bound,258,0.0,0.0,0.0
01,pi,0.7286821705426356,1.45,,,1.95,highd_external,frequency,Weak TTC,258,0.2674418604651161,,0.050000000000000044
01,pi_tuned,0.9767441860465115,1.2,1.95,2.35,1.85,highd_external,frequency,Strong TTC,258,0.019379844961240233,0.050000000000000044,-0.04999999999999982
01,pi_sd,0.9961240310077517,1.2,1.9,2.15,1.9,highd_external,frequency,Stopping-distance,258,0.0,0.0,0.0
01,rss_longitudinal,0.9922480620155038,1.2,1.9,2.15,1.85,highd_external,frequency,RSS longitudinal,258,0.003875968992247958,0.0,-0.04999999999999982
01,star,0.9935824865455363,1.5,2.15,2.45,2.15,highd_external,severity,Upper bound,258,0.0,0.0,0.0
01,pi,0.6375485352755275,1.8,,,2.05,highd_external,severity,Weak TTC,258,0.3560339512700088,,-0.10000000000000009
01,pi_tuned,0.9589807993684643,1.5,2.25,3.05,2.1,highd_external,severity,Strong TTC,258,0.034601687177072016,0.10000000000000009,-0.04999999999999982
01,pi_sd,0.9935824865455363,1.5,2.15,2.5,2.15,highd_external,severity,Stopping-distance,258,0.0,0.0,0.0
01,rss_longitudinal,0.9871649730910723,1.5,2.15,2.55,2.15,highd_external,severity,RSS longitudinal,258,0.006417513454463952,0.0,0.0
02,star,0.9999999999999998,1.25,2.0,2.2,2.0,highd_external,frequency,Upper bound,234,0.0,0.0,0.0
02,pi,0.7649572649572648,1.45,,,1.9,highd_external,frequency,Weak TTC,234,0.23504273504273498,,-0.10000000000000009
02,pi_tuned,0.987179487179487,1.25,2.05,2.35,2.05,highd_external,frequency,Strong TTC,234,0.012820512820512775,0.04999999999999982,0.04999999999999982
02,pi_sd,0.9999999999999998,1.25,2.0,2.25,2.0,highd_external,frequency,Stopping-distance,234,0.0,0.0,0.0
02,rss_longitudinal,0.9999999999999998,1.25,2.0,2.25,2.0,highd_external,frequency,RSS longitudinal,234,0.0,0.0,0.0
