dataset,weight_mode,controller,controller_label,metric,value,ci_low,ci_high,n_boot
us101,frequency,star,Upper bound,saturation,0.9941881798705066,0.993418794313649,0.9947681782133685,400
us101,frequency,star,Upper bound,delta_abs_q50_s,1.0,1.0,1.0,400
us101,frequency,star,Upper bound,delta_abs_q90_s,1.6,1.6,1.6,400
us101,frequency,star,Upper bound,delta_abs_q95_s,1.8,1.8,1.8,400
us101,frequency,star,Upper bound,delta_rel_q90_s,1.55,1.55,1.6,400
us101,frequency,star,Upper bound,sat_gap_vs_star,0.0,0.0,0.0,400
us101,frequency,star,Upper bound,delta90_penalty_vs_star_s,0.0,0.0,0.0,400
us101,frequency,star,Upper bound,delta_rel90_penalty_vs_star_s,0.0,0.0,0.0,400
us101,frequency,pi,Weak TTC,saturation,0.5097593598712169,0.5062554004947744,0.5137604606843982,400
us101,frequency,pi,Weak TTC,delta_abs_q50_s,2.3,2.15,2.4,400
us101,frequency,pi,Weak TTC,delta_abs_q90_s,,,,400
us101,frequency,pi,Weak TTC,delta_abs_q95_s,,,,400
us101,frequency,pi,Weak TTC,delta_rel_q90_s,1.55,1.55,1.6,400
us101,frequency,pi,Weak TTC,sat_gap_vs_star,0.48442881999928966,0.480556739225643,0.4878147082845069,400
us101,frequency,pi,Weak TTC,delta90_penalty_vs_star_s,,,,400
us101,frequency,pi,Weak TTC,delta_rel90_penalty_vs_star_s,0.0,-0.050000000000000044,0.050000000000000044,400
us101,frequency,pi_tuned,Strong TTC,saturation,0.9545707420427779,0.9529606548062926,0.9563350023081568,400
us101,frequency,pi_tuned,Strong TTC,delta_abs_q50_s,1.05,1.05,1.05,400
us101,frequency,pi_tuned,Strong TTC,delta_abs_q90_s,1.7,1.7,1.75,400
us101,frequency,pi_tuned,Strong TTC,delta_abs_q95_s,2.3,2.25,2.45,400
us101,frequency,pi_tuned,Strong TTC,delta_rel_q90_s,1.55,1.55,1.55,400
us101,frequency,pi_tuned,Strong TTC,sat_gap_vs_star,0.03961743782772864,0.03816063586757098,0.04120355574494272,400
us101,frequency,pi_tuned,Strong TTC,delta90_penalty_vs_star_s,0.09999999999999987,0.09999999999999987,0.1499999999999999,400
us101,frequency,pi_tuned,Strong TTC,delta_rel90_penalty_vs_star_s,0.0,-0.050000000000000044,0.0,400
us101,frequency,pi_sd,Stopping-distance,saturation,0.9620752103973582,0.960536439283643,0.9636379508303446,400
us101,frequency,pi_sd,Stopping-distance,delta_abs_q50_s,1.0,1.0,1.05,400
us101,frequency,pi_sd,Stopping-distance,delta_abs_q90_s,1.65,1.65,1.65,400
us101,frequency,pi_sd,Stopping-distance,delta_abs_q95_s,2.0,1.95,2.05,400
us101,frequency,pi_sd,Stopping-distance,delta_rel_q90_s,1.55,1.55,1.55,400
us101,frequency,pi_sd,Stopping-distance,sat_gap_vs_star,0.032112969473148345,0.030798799758531233,0.033486618609661165,400
us101,frequency,pi_sd,Stopping-distance,delta90_penalty_vs_star_s,0.04999999999999982,0.04999999999999982,0.04999999999999982,400
us101,frequency,pi_sd,Stopping-distance,delta_rel90_penalty_vs_star_s,0.0,-0.050000000000000044,0.0,400
us101,frequency,rss_longitudinal,RSS longitudinal,saturation,0.9545470686410285,0.9527117881704013,0.9560384929512448,400
us101,frequency,rss_longitudinal,RSS longitudinal,delta_abs_q50_s,1.0,1.0,1.05,400
us101,frequency,rss_longitudinal,RSS longitudinal,delta_abs_q90_s,1.7,1.7,1.7,400
us101,frequency,rss_longitudinal,RSS longitudinal,delta_abs_q95_s,2.35,2.25,2.45,400
us101,frequency,rss_longitudinal,RSS longitudinal,delta_rel_q90_s,1.55,1.55,1.55,400
us101,frequency,rss_longitudinal,RSS longitudinal,sat_gap_vs_star,0.03964111122947811,0.038313625226376866,0.0411452599931346,400
us101,frequency,rss_longitudinal,RSS longitudinal,delta90_penalty_vs_star_s,0.09999999999999987,0.09999999999999987,0.09999999999999987,400
us101,frequency,rss_longitudinal,RSS longitudinal,delta_rel90_penalty_vs_star_s,0.0,-0.050000000000000044,0.0,400
us101,severity,star,Upper bound,saturation,0.9743957908727015,0.9702594507166178,0.9777112128403845,400
us101,severity,star,Upper bound,delta_abs_q50_s,1.25,1.25,1.25,400
us101,severity,star,Upper bound,delta_abs_q90_s,1.9,1.85,1.9,400
us101,severity,star,Upper bound,delta_abs_q95_s,2.2,2.15,2.25,400
