dataset,membership,base_scenario_id,scenario_id,source,family,ego_vehicle_id,lead_vehicle_id,episode_id,replicate_id
ngsim_us101,noncrash_complement,ngsim_4_6_4,ngsim_4_6_4_u0,ngsim,slower_lead,4,6,5,0
ngsim_us101,noncrash_complement,ngsim_4_6_4,ngsim_4_6_4_u1,ngsim,slower_lead,4,6,5,1
ngsim_us101,noncrash_complement,ngsim_4_6_4,ngsim_4_6_4_u2,ngsim,slower_lead,4,6,5,2
ngsim_us101,noncrash_complement,ngsim_6_1_8,ngsim_6_1_8_u0,ngsim,slower_lead,6,1,9,0
ngsim_us101,noncrash_complement,ngsim_6_1_8,ngsim_6_1_8_u1,ngsim,slower_lead,6,1,9,1
ngsim_us101,noncrash_complement,ngsim_6_1_8,ngsim_6_1_8_u2,ngsim,slower_lead,6,1,9,2
ngsim_us101,noncrash_complement,ngsim_6_2_10,ngsim_6_2_10_u0,ngsim,slower_lead,6,2,11,0
ngsim_us101,noncrash_complement,ngsim_6_2_10,ngsim_6_2_10_u1,ngsim,slower_lead,6,2,11,1
ngsim_us101,noncrash_complement,ngsim_6_2_10,ngsim_6_2_10_u2,ngsim,slower_lead,6,2,11,2
ngsim_us101,noncrash_complement,ngsim_8_4_16,ngsim_8_4_16_u0,ngsim,slower_lead,8,4,17,0
ngsim_us101,noncrash_complement,ngsim_8_4_16,ngsim_8_4_16_u1,ngsim,slower_lead,8,4,17,1
ngsim_us101,noncrash_complement,ngsim_8_4_16,ngsim_8_4_16_u2,ngsim,slower_lead,8,4,17,2
ngsim_us101,noncrash_complement,ngsim_13_8_53,ngsim_13_8_53_u0,ngsim,slower_lead,13,8,54,0
ngsim_us101,noncrash_complement,ngsim_13_8_53,ngsim_13_8_53_u1,ngsim,slower_lead,13,8,54,1
ngsim_us101,noncrash_complement,ngsim_13_8_53,ngsim_13_8_53_u2,ngsim,slower_lead,13,8,54,2
ngsim_us101,noncrash_complement,ngsim_13_8_61,ngsim_13_8_61_u0,ngsim,slower_lead,13,8,62,0
ngsim_us101,noncrash_complement,ngsim_13_8_61,ngsim_13_8_61_u1,ngsim,slower_lead,13,8,62,1
ngsim_us101,noncrash_complement,ngsim_13_8_61,ngsim_13_8_61_u2,ngsim,slower_lead,13,8,62,2
ngsim_us101,noncrash_complement,ngsim_17_13_87,ngsim_17_13_87_u0,ngsim,slower_lead,17,13,88,0
ngsim_us101,noncrash_complement,ngsim_17_13_87,ngsim_17_13_87_u1,ngsim,slower_lead,17,13,88,1
ngsim_us101,noncrash_complement,ngsim_17_13_87,ngsim_17_13_87_u2,ngsim,slower_lead,17,13,88,2
ngsim_us101,noncrash_complement,ngsim_17_13_89,ngsim_17_13_89_u0,ngsim,slower_lead,17,13,90,0
ngsim_us101,noncrash_complement,ngsim_17_13_89,ngsim_17_13_89_u1,ngsim,slower_lead,17,13,90,1
ngsim_us101,noncrash_complement,ngsim_17_13_89,ngsim_17_13_89_u2,ngsim,slower_lead,17,13,90,2
ngsim_us101,noncrash_complement,ngsim_19_15_107,ngsim_19_15_107_u0,ngsim,slower_lead,19,15,108,0
ngsim_us101,noncrash_complement,ngsim_19_15_107,ngsim_19_15_107_u1,ngsim,slower_lead,19,15,108,1
ngsim_us101,noncrash_complement,ngsim_19_15_107,ngsim_19_15_107_u2,ngsim,slower_lead,19,15,108,2
ngsim_us101,noncrash_complement,ngsim_21_18_126,ngsim_21_18_126_u0,ngsim,slower_lead,21,18,127,0
ngsim_us101,noncrash_complement,ngsim_21_18_126,ngsim_21_18_126_u1,ngsim,slower_lead,21,18,127,1
ngsim_us101,noncrash_complement,ngsim_21_18_126,ngsim_21_18_126_u2,ngsim,slower_lead,21,18,127,2
ngsim_us101,noncrash_complement,ngsim_21_18_130,ngsim_21_18_130_u0,ngsim,slower_lead,21,18,131,0
ngsim_us101,noncrash_complement,ngsim_21_18_130,ngsim_21_18_130_u1,ngsim,slower_lead,21,18,131,1
ngsim_us101,noncrash_complement,ngsim_21_18_130,ngsim_21_18_130_u2,ngsim,slower_lead,21,18,131,2
ngsim_us101,noncrash_complement,ngsim_22_18_135,ngsim_22_18_135_u0,ngsim,slower_lead,22,18,136,0
